claimdesc,label
Hailstorm damaged the roof causing severe structural damage.,0
Wildfire spread to the area causing severe structural damage.,0
Drain line clogged and water backed up causing significant water damage.,1
Heavy snow collapsed the porch damaging exterior walls.,0
Wildfire spread to the area leading to smoke damage.,0
Basement flooded due to backup into the bathroom.,1
Fire erupted leading to partial collapse.,0
Strong winds blew off shingles affecting electrical systems.,0
Strong winds blew off shingles affecting electrical systems.,0
Drain line clogged and water backed up requiring professional mitigation.,1
Water seeped in after pipe blockage into the bathroom.,1
Windstorm caused damage damaging exterior walls.,0
Hailstorm damaged the roof resulting in roof repair.,0
Shower drain blockage caused water backup through the floor drain.,1
Sump pump failed leading to backup into the basement.,1
Lightning struck the house causing window breakage.,0
Lightning struck the house leading to smoke damage.,0
Tree fell on the property during the storm requiring emergency response.,0
Heavy snow collapsed the porch resulting in roof repair.,0
Water seeped in after pipe blockage soaking walls and flooring.,1
Toilet overflow caused water backup through the floor drain.,1
Shower drain blockage caused water backup damaging carpet and furniture.,1
Windstorm caused damage leading to smoke damage.,0
Hailstorm damaged the roof damaging exterior walls.,0
Wildfire spread to the area leading to partial collapse.,0
Tree fell on the property during the storm leading to smoke damage.,0
Water seeped in after pipe blockage resulting in unpleasant odor.,1
Water seeped in after pipe blockage damaging personal property.,1
Electrical fire started resulting in roof repair.,0
Heavy snow collapsed the porch leading to partial collapse.,0
Windstorm caused damage leading to smoke damage.,0
Tree fell on the property during the storm requiring emergency response.,0
Water seeped in after pipe blockage causing significant water damage.,1
Windstorm caused damage requiring emergency response.,0
Electrical fire started causing severe structural damage.,0
Wildfire spread to the area resulting in roof repair.,0
Fire erupted leading to smoke damage.,0
Hailstorm damaged the roof destroying part of the home.,0
Lightning struck the house leading to partial collapse.,0
Windstorm caused damage causing severe structural damage.,0
Laundry drain overflowed damaging carpet and furniture.,1
Electrical fire started causing severe structural damage.,0
Water backed up leading to extensive cleanup.,1
Strong winds blew off shingles leading to partial collapse.,0
Lightning struck the house destroying part of the home.,0
Heavy snow collapsed the porch causing window breakage.,0
Wildfire spread to the area resulting in roof repair.,0
Heavy snow collapsed the porch leading to smoke damage.,0
Shower drain blockage caused water backup into the bathroom.,1
Earthquake shook the building resulting in roof repair.,0
Sump pump failed leading to backup through the floor drain.,1
Main sewer line backup flooded the area requiring professional mitigation.,1
Water backed up resulting in unpleasant odor.,1
Electrical fire started causing severe structural damage.,0
Strong winds blew off shingles damaging multiple rooms.,0
Toilet overflow caused water backup causing significant water damage.,1
Earthquake shook the building leading to smoke damage.,0
Earthquake shook the building damaging exterior walls.,0
Earthquake shook the building affecting electrical systems.,0
Shower drain blockage caused water backup leading to extensive cleanup.,1
Tree fell on the property during the storm causing window breakage.,0
Toilet overflow caused water backup causing significant water damage.,1
Heavy snow collapsed the porch leading to partial collapse.,0
Toilet overflow caused water backup damaging carpet and furniture.,1
Electrical fire started leading to partial collapse.,0
Toilet overflow caused water backup damaging carpet and furniture.,1
Strong winds blew off shingles damaging exterior walls.,0
Earthquake shook the building causing window breakage.,0
Water backed up damaging carpet and furniture.,1
Windstorm caused damage damaging multiple rooms.,0
Lightning struck the house requiring emergency response.,0
Laundry drain overflowed resulting in unpleasant odor.,1
Laundry drain overflowed into the bathroom.,1
Electrical fire started leading to partial collapse.,0
Lightning struck the house damaging exterior walls.,0
Toilet overflow caused water backup causing significant water damage.,1
Water seeped in after pipe blockage leading to extensive cleanup.,1
Fire erupted leading to smoke damage.,0
Main sewer line backup flooded the area leading to extensive cleanup.,1
Shower drain blockage caused water backup damaging personal property.,1
Heavy snow collapsed the porch affecting electrical systems.,0
Wildfire spread to the area affecting electrical systems.,0
Heavy snow collapsed the porch damaging multiple rooms.,0
Water seeped in after pipe blockage damaging personal property.,1
Water seeped in after pipe blockage into the basement.,1
Electrical fire started leading to smoke damage.,0
Water backed up requiring professional mitigation.,1
Heavy snow collapsed the porch affecting electrical systems.,0
Tree fell on the property during the storm requiring emergency response.,0
Toilet overflow caused water backup causing significant water damage.,1
Main sewer line backup flooded the area damaging carpet and furniture.,1
Drain line clogged and water backed up damaging carpet and furniture.,1
Wildfire spread to the area causing severe structural damage.,0
Earthquake shook the building causing window breakage.,0
Windstorm caused damage leading to smoke damage.,0
Shower drain blockage caused water backup damaging personal property.,1
Toilet overflow caused water backup damaging carpet and furniture.,1
Hailstorm damaged the roof leading to smoke damage.,0
Strong winds blew off shingles damaging exterior walls.,0
Tree fell on the property during the storm causing severe structural damage.,0
Drain line clogged and water backed up into the bathroom.,1
Laundry drain overflowed into the bathroom.,1
Shower drain blockage caused water backup through the floor drain.,1
Electrical fire started requiring emergency response.,0
Main sewer line backup flooded the area into the bathroom.,1
Water backed up soaking walls and flooring.,1
Hailstorm damaged the roof causing severe structural damage.,0
Shower drain blockage caused water backup into the bathroom.,1
Wildfire spread to the area resulting in roof repair.,0
Heavy snow collapsed the porch causing window breakage.,0
Sewage overflowed through the floor drain.,1
Earthquake shook the building leading to partial collapse.,0
Wildfire spread to the area causing severe structural damage.,0
Sump pump failed leading to backup damaging personal property.,1
Water backed up damaging carpet and furniture.,1
Sump pump failed leading to backup causing significant water damage.,1
Tree fell on the property during the storm destroying part of the home.,0
Drain line clogged and water backed up leading to extensive cleanup.,1
Wildfire spread to the area leading to partial collapse.,0
Main sewer line backup flooded the area causing significant water damage.,1
Basement flooded due to backup leading to extensive cleanup.,1
Shower drain blockage caused water backup resulting in unpleasant odor.,1
Electrical fire started resulting in roof repair.,0
Wildfire spread to the area leading to smoke damage.,0
Windstorm caused damage leading to smoke damage.,0
Heavy snow collapsed the porch resulting in roof repair.,0
Basement flooded due to backup leading to extensive cleanup.,1
Lightning struck the house destroying part of the home.,0
Windstorm caused damage causing window breakage.,0
Wildfire spread to the area causing severe structural damage.,0
Shower drain blockage caused water backup damaging carpet and furniture.,1
Laundry drain overflowed into the bathroom.,1
Water backed up damaging personal property.,1
Hailstorm damaged the roof damaging exterior walls.,0
Toilet overflow caused water backup damaging personal property.,1
Electrical fire started leading to smoke damage.,0
Electrical fire started causing severe structural damage.,0
Electrical fire started leading to smoke damage.,0
Lightning struck the house requiring emergency response.,0
Water seeped in after pipe blockage requiring professional mitigation.,1
Sump pump failed leading to backup damaging personal property.,1
Earthquake shook the building damaging exterior walls.,0
Lightning struck the house destroying part of the home.,0
Hailstorm damaged the roof leading to partial collapse.,0
Hailstorm damaged the roof resulting in roof repair.,0
Toilet overflow caused water backup soaking walls and flooring.,1
Sewage overflowed leading to extensive cleanup.,1
Toilet overflow caused water backup into the bathroom.,1
Strong winds blew off shingles leading to smoke damage.,0
Strong winds blew off shingles leading to partial collapse.,0
Heavy snow collapsed the porch causing window breakage.,0
Hailstorm damaged the roof destroying part of the home.,0
Strong winds blew off shingles leading to partial collapse.,0
Tree fell on the property during the storm causing window breakage.,0
Heavy snow collapsed the porch resulting in roof repair.,0
Basement flooded due to backup resulting in unpleasant odor.,1
Sump pump failed leading to backup leading to extensive cleanup.,1
Earthquake shook the building requiring emergency response.,0
Water backed up resulting in unpleasant odor.,1
Strong winds blew off shingles damaging multiple rooms.,0
Tree fell on the property during the storm resulting in roof repair.,0
Fire erupted damaging exterior walls.,0
Shower drain blockage caused water backup damaging personal property.,1
Lightning struck the house damaging exterior walls.,0
Drain line clogged and water backed up resulting in unpleasant odor.,1
Main sewer line backup flooded the area resulting in unpleasant odor.,1
Sewage overflowed resulting in unpleasant odor.,1
Drain line clogged and water backed up into the basement.,1
Drain line clogged and water backed up through the floor drain.,1
Electrical fire started destroying part of the home.,0
Drain line clogged and water backed up into the basement.,1
Wildfire spread to the area resulting in roof repair.,0
Tree fell on the property during the storm affecting electrical systems.,0
Drain line clogged and water backed up through the floor drain.,1
Heavy snow collapsed the porch leading to smoke damage.,0
Strong winds blew off shingles destroying part of the home.,0
Wildfire spread to the area leading to smoke damage.,0
Strong winds blew off shingles causing window breakage.,0
Electrical fire started leading to smoke damage.,0
Earthquake shook the building damaging multiple rooms.,0
Wildfire spread to the area damaging multiple rooms.,0
Electrical fire started causing window breakage.,0
Tree fell on the property during the storm causing window breakage.,0
Basement flooded due to backup causing significant water damage.,1
Main sewer line backup flooded the area requiring professional mitigation.,1
Electrical fire started requiring emergency response.,0
Sewage overflowed requiring professional mitigation.,1
Lightning struck the house destroying part of the home.,0
Water backed up requiring professional mitigation.,1
Toilet overflow caused water backup causing significant water damage.,1
Water seeped in after pipe blockage damaging personal property.,1
Toilet overflow caused water backup damaging carpet and furniture.,1
Water seeped in after pipe blockage causing significant water damage.,1
Windstorm caused damage causing severe structural damage.,0
Lightning struck the house leading to partial collapse.,0
Shower drain blockage caused water backup requiring professional mitigation.,1
Electrical fire started requiring emergency response.,0
Basement flooded due to backup damaging carpet and furniture.,1
Drain line clogged and water backed up into the bathroom.,1
Shower drain blockage caused water backup through the floor drain.,1
Hailstorm damaged the roof leading to partial collapse.,0
Fire erupted requiring emergency response.,0
Strong winds blew off shingles affecting electrical systems.,0
Basement flooded due to backup requiring professional mitigation.,1
Heavy snow collapsed the porch leading to partial collapse.,0
Wildfire spread to the area requiring emergency response.,0
Lightning struck the house leading to partial collapse.,0
Strong winds blew off shingles affecting electrical systems.,0
Main sewer line backup flooded the area damaging personal property.,1
Sewage overflowed damaging carpet and furniture.,1
Tree fell on the property during the storm causing window breakage.,0
Tree fell on the property during the storm affecting electrical systems.,0
Tree fell on the property during the storm affecting electrical systems.,0
Hailstorm damaged the roof damaging multiple rooms.,0
Strong winds blew off shingles causing severe structural damage.,0
Sump pump failed leading to backup through the floor drain.,1
Shower drain blockage caused water backup into the basement.,1
Wildfire spread to the area leading to smoke damage.,0
Laundry drain overflowed requiring professional mitigation.,1
Water seeped in after pipe blockage leading to extensive cleanup.,1
Heavy snow collapsed the porch leading to partial collapse.,0
Sewage overflowed requiring professional mitigation.,1
Hailstorm damaged the roof destroying part of the home.,0
Lightning struck the house leading to smoke damage.,0
Water backed up into the bathroom.,1
Basement flooded due to backup requiring professional mitigation.,1
Tree fell on the property during the storm resulting in roof repair.,0
Sump pump failed leading to backup soaking walls and flooring.,1
Main sewer line backup flooded the area damaging personal property.,1
Earthquake shook the building requiring emergency response.,0
Windstorm caused damage damaging multiple rooms.,0
Sump pump failed leading to backup soaking walls and flooring.,1
Earthquake shook the building resulting in roof repair.,0
Shower drain blockage caused water backup soaking walls and flooring.,1
Electrical fire started leading to partial collapse.,0
Strong winds blew off shingles destroying part of the home.,0
Strong winds blew off shingles leading to smoke damage.,0
Water seeped in after pipe blockage causing significant water damage.,1
Water backed up damaging carpet and furniture.,1
Sump pump failed leading to backup requiring professional mitigation.,1
Windstorm caused damage causing window breakage.,0
Drain line clogged and water backed up requiring professional mitigation.,1
Strong winds blew off shingles resulting in roof repair.,0
Heavy snow collapsed the porch causing severe structural damage.,0
Water backed up through the floor drain.,1
Basement flooded due to backup through the floor drain.,1
Heavy snow collapsed the porch affecting electrical systems.,0
Laundry drain overflowed damaging carpet and furniture.,1
Windstorm caused damage requiring emergency response.,0
Earthquake shook the building causing severe structural damage.,0
Tree fell on the property during the storm causing window breakage.,0
Lightning struck the house requiring emergency response.,0
Windstorm caused damage damaging exterior walls.,0
Earthquake shook the building leading to smoke damage.,0
Laundry drain overflowed through the floor drain.,1
Earthquake shook the building affecting electrical systems.,0
Tree fell on the property during the storm leading to smoke damage.,0
Shower drain blockage caused water backup damaging carpet and furniture.,1
Water backed up soaking walls and flooring.,1
Earthquake shook the building affecting electrical systems.,0
Drain line clogged and water backed up causing significant water damage.,1
Sump pump failed leading to backup soaking walls and flooring.,1
Heavy snow collapsed the porch leading to partial collapse.,0
Water backed up through the floor drain.,1
Electrical fire started destroying part of the home.,0
Lightning struck the house causing severe structural damage.,0
Windstorm caused damage leading to partial collapse.,0
Electrical fire started leading to partial collapse.,0
Wildfire spread to the area damaging multiple rooms.,0
Water backed up through the floor drain.,1
Windstorm caused damage destroying part of the home.,0
Electrical fire started requiring emergency response.,0
Basement flooded due to backup damaging carpet and furniture.,1
Wildfire spread to the area affecting electrical systems.,0
Laundry drain overflowed into the bathroom.,1
Water seeped in after pipe blockage causing significant water damage.,1
Sump pump failed leading to backup causing significant water damage.,1
Lightning struck the house requiring emergency response.,0
Heavy snow collapsed the porch causing severe structural damage.,0
Water seeped in after pipe blockage damaging personal property.,1
Toilet overflow caused water backup into the bathroom.,1
Fire erupted leading to smoke damage.,0
Lightning struck the house leading to smoke damage.,0
Strong winds blew off shingles causing severe structural damage.,0
Basement flooded due to backup resulting in unpleasant odor.,1
Hailstorm damaged the roof causing window breakage.,0
Drain line clogged and water backed up causing significant water damage.,1
Electrical fire started causing window breakage.,0
Heavy snow collapsed the porch causing window breakage.,0
Tree fell on the property during the storm requiring emergency response.,0
Shower drain blockage caused water backup damaging carpet and furniture.,1
Water seeped in after pipe blockage requiring professional mitigation.,1
Water seeped in after pipe blockage into the basement.,1
Water backed up causing significant water damage.,1
Tree fell on the property during the storm causing window breakage.,0
Wildfire spread to the area damaging exterior walls.,0
Tree fell on the property during the storm destroying part of the home.,0
Hailstorm damaged the roof causing severe structural damage.,0
Strong winds blew off shingles causing window breakage.,0
Earthquake shook the building causing window breakage.,0
Tree fell on the property during the storm requiring emergency response.,0
Hailstorm damaged the roof damaging multiple rooms.,0
Windstorm caused damage damaging multiple rooms.,0
Main sewer line backup flooded the area soaking walls and flooring.,1
Hailstorm damaged the roof damaging exterior walls.,0
Heavy snow collapsed the porch requiring emergency response.,0
Heavy snow collapsed the porch causing severe structural damage.,0
Wildfire spread to the area leading to smoke damage.,0
Main sewer line backup flooded the area leading to extensive cleanup.,1
Water seeped in after pipe blockage leading to extensive cleanup.,1
Water seeped in after pipe blockage causing significant water damage.,1
Tree fell on the property during the storm damaging multiple rooms.,0
Fire erupted damaging multiple rooms.,0
Sump pump failed leading to backup causing significant water damage.,1
Windstorm caused damage damaging exterior walls.,0
Fire erupted affecting electrical systems.,0
Heavy snow collapsed the porch leading to partial collapse.,0
Main sewer line backup flooded the area damaging carpet and furniture.,1
Lightning struck the house affecting electrical systems.,0
Laundry drain overflowed requiring professional mitigation.,1
Basement flooded due to backup damaging carpet and furniture.,1
Basement flooded due to backup into the bathroom.,1
Main sewer line backup flooded the area damaging personal property.,1
Sump pump failed leading to backup soaking walls and flooring.,1
Wildfire spread to the area destroying part of the home.,0
Toilet overflow caused water backup causing significant water damage.,1
Tree fell on the property during the storm damaging multiple rooms.,0
Main sewer line backup flooded the area through the floor drain.,1
Laundry drain overflowed requiring professional mitigation.,1
Water seeped in after pipe blockage through the floor drain.,1
Windstorm caused damage damaging exterior walls.,0
Wildfire spread to the area causing window breakage.,0
Tree fell on the property during the storm destroying part of the home.,0
Laundry drain overflowed soaking walls and flooring.,1
Heavy snow collapsed the porch destroying part of the home.,0
Main sewer line backup flooded the area soaking walls and flooring.,1
Shower drain blockage caused water backup into the bathroom.,1
Laundry drain overflowed into the basement.,1
Shower drain blockage caused water backup damaging personal property.,1
Main sewer line backup flooded the area damaging carpet and furniture.,1
Strong winds blew off shingles causing severe structural damage.,0
Fire erupted affecting electrical systems.,0
Fire erupted leading to smoke damage.,0
Basement flooded due to backup resulting in unpleasant odor.,1
Basement flooded due to backup damaging carpet and furniture.,1
Sewage overflowed requiring professional mitigation.,1
Water backed up into the bathroom.,1
Hailstorm damaged the roof causing window breakage.,0
Main sewer line backup flooded the area damaging carpet and furniture.,1
Shower drain blockage caused water backup into the basement.,1
Heavy snow collapsed the porch causing severe structural damage.,0
Wildfire spread to the area affecting electrical systems.,0
Electrical fire started requiring emergency response.,0
Water backed up causing significant water damage.,1
Heavy snow collapsed the porch affecting electrical systems.,0
Wildfire spread to the area resulting in roof repair.,0
Toilet overflow caused water backup damaging personal property.,1
Strong winds blew off shingles causing window breakage.,0
Lightning struck the house causing window breakage.,0
Earthquake shook the building damaging exterior walls.,0
Lightning struck the house requiring emergency response.,0
Wildfire spread to the area resulting in roof repair.,0
Shower drain blockage caused water backup resulting in unpleasant odor.,1
Fire erupted leading to smoke damage.,0
Sump pump failed leading to backup into the bathroom.,1
Earthquake shook the building damaging multiple rooms.,0
Hailstorm damaged the roof causing severe structural damage.,0
Main sewer line backup flooded the area requiring professional mitigation.,1
Earthquake shook the building leading to partial collapse.,0
Heavy snow collapsed the porch affecting electrical systems.,0
Lightning struck the house requiring emergency response.,0
Water backed up soaking walls and flooring.,1
Fire erupted leading to smoke damage.,0
Shower drain blockage caused water backup soaking walls and flooring.,1
Tree fell on the property during the storm destroying part of the home.,0
Fire erupted damaging exterior walls.,0
Electrical fire started causing window breakage.,0
Lightning struck the house affecting electrical systems.,0
Earthquake shook the building requiring emergency response.,0
Lightning struck the house destroying part of the home.,0
Water backed up damaging carpet and furniture.,1
Heavy snow collapsed the porch causing window breakage.,0
Fire erupted leading to smoke damage.,0
Strong winds blew off shingles causing severe structural damage.,0
Shower drain blockage caused water backup requiring professional mitigation.,1
Earthquake shook the building causing severe structural damage.,0
Basement flooded due to backup soaking walls and flooring.,1
Lightning struck the house causing severe structural damage.,0
Hailstorm damaged the roof requiring emergency response.,0
Earthquake shook the building requiring emergency response.,0
Wildfire spread to the area causing window breakage.,0
Lightning struck the house causing severe structural damage.,0
Tree fell on the property during the storm causing window breakage.,0
Windstorm caused damage causing window breakage.,0
Heavy snow collapsed the porch requiring emergency response.,0
Shower drain blockage caused water backup leading to extensive cleanup.,1
Tree fell on the property during the storm damaging exterior walls.,0
Strong winds blew off shingles destroying part of the home.,0
Toilet overflow caused water backup requiring professional mitigation.,1
Hailstorm damaged the roof causing severe structural damage.,0
Windstorm caused damage leading to partial collapse.,0
Hailstorm damaged the roof destroying part of the home.,0
Fire erupted leading to partial collapse.,0
Earthquake shook the building damaging exterior walls.,0
Lightning struck the house destroying part of the home.,0
Basement flooded due to backup causing significant water damage.,1
Electrical fire started resulting in roof repair.,0
Sewage overflowed damaging personal property.,1
Lightning struck the house damaging multiple rooms.,0
Hailstorm damaged the roof damaging multiple rooms.,0
Tree fell on the property during the storm destroying part of the home.,0
Basement flooded due to backup causing significant water damage.,1
Tree fell on the property during the storm affecting electrical systems.,0
Sump pump failed leading to backup leading to extensive cleanup.,1
Earthquake shook the building damaging multiple rooms.,0
Main sewer line backup flooded the area leading to extensive cleanup.,1
Electrical fire started affecting electrical systems.,0
Electrical fire started leading to partial collapse.,0
Electrical fire started leading to partial collapse.,0
Toilet overflow caused water backup resulting in unpleasant odor.,1
Strong winds blew off shingles damaging exterior walls.,0
Strong winds blew off shingles destroying part of the home.,0
Main sewer line backup flooded the area soaking walls and flooring.,1
Tree fell on the property during the storm requiring emergency response.,0
Lightning struck the house affecting electrical systems.,0
Electrical fire started leading to smoke damage.,0
Drain line clogged and water backed up into the bathroom.,1
Earthquake shook the building affecting electrical systems.,0
Heavy snow collapsed the porch affecting electrical systems.,0
Water backed up damaging personal property.,1
Water backed up through the floor drain.,1
Toilet overflow caused water backup into the bathroom.,1
Earthquake shook the building leading to partial collapse.,0
Sump pump failed leading to backup damaging carpet and furniture.,1
Hailstorm damaged the roof leading to smoke damage.,0
Fire erupted causing window breakage.,0
Earthquake shook the building affecting electrical systems.,0
Water seeped in after pipe blockage through the floor drain.,1
Lightning struck the house requiring emergency response.,0
Lightning struck the house leading to partial collapse.,0
Lightning struck the house affecting electrical systems.,0
Sump pump failed leading to backup damaging personal property.,1
Fire erupted causing window breakage.,0
Toilet overflow caused water backup into the basement.,1
Shower drain blockage caused water backup damaging personal property.,1
Electrical fire started destroying part of the home.,0
Hailstorm damaged the roof requiring emergency response.,0
Basement flooded due to backup damaging carpet and furniture.,1
Main sewer line backup flooded the area requiring professional mitigation.,1
Basement flooded due to backup through the floor drain.,1
Toilet overflow caused water backup damaging carpet and furniture.,1
Water seeped in after pipe blockage into the bathroom.,1
Wildfire spread to the area damaging multiple rooms.,0
Drain line clogged and water backed up resulting in unpleasant odor.,1
Windstorm caused damage causing window breakage.,0
Windstorm caused damage damaging exterior walls.,0
Heavy snow collapsed the porch destroying part of the home.,0
Laundry drain overflowed damaging carpet and furniture.,1
Drain line clogged and water backed up causing significant water damage.,1
Main sewer line backup flooded the area damaging personal property.,1
Main sewer line backup flooded the area into the basement.,1
Drain line clogged and water backed up damaging personal property.,1
Main sewer line backup flooded the area into the basement.,1
Sewage overflowed requiring professional mitigation.,1
Tree fell on the property during the storm requiring emergency response.,0
Lightning struck the house requiring emergency response.,0
